"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"5","","1","Serviço de Cupons - EBAC SHOP","5","0","","0"
"2","","0","Contrato da API de Cupons","0","0","","0"
